epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,192.685,1.17897,0.82205,0.77235,0.73664,0.71838,0.7543,0.34846,1.91907,1.27242,0.79165,9.0797e-05,9.0797e-05,9.0797e-05
92,194.686,1.14486,0.78372,0.76314,0.72601,0.68517,0.71801,0.32525,1.96969,1.36054,0.8002,8.25503e-05,8.25503e-05,8.25503e-05
93,196.542,1.12539,0.78129,0.76139,0.69552,0.67886,0.70427,0.33554,1.89095,1.41995,0.79544,7.43036e-05,7.43036e-05,7.43036e-05
94,198.378,1.10744,0.76248,0.75724,0.65547,0.65751,0.64827,0.29671,2.04778,1.48136,0.80668,6.60569e-05,6.60569e-05,6.60569e-05
95,200.205,1.06817,0.74952,0.76524,0.73916,0.66102,0.70474,0.32311,1.9693,1.41273,0.80025,5.78102e-05,5.78102e-05,5.78102e-05
96,202.048,1.08113,0.7379,0.75954,0.71717,0.65281,0.6951,0.31627,1.99409,1.41989,0.8036,4.95635e-05,4.95635e-05,4.95635e-05
97,203.881,1.06651,0.72965,0.7661,0.71209,0.64097,0.68276,0.30642,2.03828,1.42367,0.80631,4.13168e-05,4.13168e-05,4.13168e-05
98,205.723,1.06517,0.73537,0.75934,0.7001,0.63554,0.67097,0.30821,2.01807,1.41907,0.80536,3.30701e-05,3.30701e-05,3.30701e-05
99,207.603,1.0522,0.72242,0.76324,0.69176,0.65028,0.67543,0.30801,2.02538,1.42633,0.80714,2.48234e-05,2.48234e-05,2.48234e-05
100,209.443,1.05907,0.7361,0.76179,0.6932,0.65959,0.68442,0.31113,2.02687,1.41516,0.80764,1.65767e-05,1.65767e-05,1.65767e-05
