epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,337.562,1.09504,0.45145,0.73507,0.93019,0.76088,0.77942,0.40149,1.74091,0.77909,0.77312,0.000254791,0.000254791,0.000254791
85,341.471,1.08572,0.44817,0.72796,0.94642,0.75934,0.78596,0.39894,1.7942,0.79555,0.77282,0.000240644,0.000240644,0.000240644
86,345.458,1.10338,0.45219,0.72614,0.91581,0.75152,0.77254,0.39537,1.78428,0.80088,0.76999,0.000226497,0.000226497,0.000226497
87,349.461,1.09263,0.4409,0.72713,0.92816,0.75086,0.77864,0.40485,1.71977,0.78793,0.77036,0.000212349,0.000212349,0.000212349
88,353.45,1.0857,0.43377,0.7246,0.90835,0.76116,0.78,0.35943,1.91973,0.78857,0.78138,0.000198202,0.000198202,0.000198202
89,357.414,1.10265,0.44522,0.73114,0.93786,0.76364,0.79275,0.36352,1.92497,0.7932,0.78059,0.000184055,0.000184055,0.000184055
90,361.355,1.08302,0.44094,0.72593,0.94574,0.75962,0.78151,0.39025,1.8132,0.76313,0.77731,0.000169908,0.000169908,0.000169908
91,388.606,1.02729,0.43978,0.74072,0.90042,0.74365,0.76005,0.36054,1.91772,0.79678,0.78611,0.000155761,0.000155761,0.000155761
92,392.531,0.99139,0.43293,0.74308,0.88977,0.74246,0.75175,0.37915,1.84759,0.78802,0.78133,0.000141614,0.000141614,0.000141614
93,396.59,1.00446,0.43272,0.73825,0.90601,0.73735,0.75358,0.35242,1.92067,0.84644,0.78063,0.000127467,0.000127467,0.000127467
94,400.526,0.9727,0.42849,0.73851,0.89269,0.7425,0.74962,0.36357,1.89042,0.83951,0.77751,0.00011332,0.00011332,0.00011332
95,404.464,0.9862,0.42499,0.74003,0.91366,0.75492,0.76652,0.39151,1.77934,0.82623,0.77379,9.91726e-05,9.91726e-05,9.91726e-05
96,408.356,0.99351,0.42356,0.73924,0.91585,0.74692,0.75995,0.37796,1.8338,0.85456,0.77671,8.50255e-05,8.50255e-05,8.50255e-05
97,412.285,0.99439,0.42196,0.73712,0.90745,0.74593,0.75758,0.37877,1.83366,0.83853,0.77589,7.08784e-05,7.08784e-05,7.08784e-05
98,416.229,0.98804,0.41819,0.73694,0.89792,0.74064,0.75629,0.37115,1.85536,0.82528,0.77636,5.67313e-05,5.67313e-05,5.67313e-05
99,421.02,0.94973,0.41343,0.73955,0.9238,0.75311,0.76644,0.38946,1.79269,0.79989,0.77494,4.25842e-05,4.25842e-05,4.25842e-05
100,425.187,0.96702,0.41508,0.74066,0.92686,0.76273,0.77924,0.38245,1.80838,0.80109,0.77477,2.84371e-05,2.84371e-05,2.84371e-05
